,eff_singlef_alk,eff_singlef_pem,alk_singlef,alk_singlef_s,alk_singlef_l,alk_singlef_sl,pem_singlef,pem_singlef_s,pem_singlef_l,pem_singlef_sl,alk_doublef,alk_doublef_s,alk_doublef_l,alk_doublef_sl,pem_doublef,pem_doublef_s,pem_doublef_l,pem_doublef_sl
1992,63.520168338556715,55.48320585040559,2589.4493379496107,2589.4493379496107,2589.4493379496107,2589.4493379496107,2691.6664989536766,2691.6664989536766,2691.6664989536766,2691.6664989536766,2260.459169693191,2260.459169693191,2260.459169693191,2260.459169693191,3508.1290888814997,3508.1290888814997,3508.1290888814997,3508.1290888814997
1993,63.581415093881645,55.74423635302611,2477.3816431951127,2444.3512700969936,2261.363600180085,2414.9459881850503,2601.3082548584584,2575.060984186019,2434.9336385070796,2531.979123535108,2192.791328454388,2163.5553341116847,2068.757190673411,2137.5279969977687,3359.789340681519,3325.888975331684,3086.3585089625594,3270.2454444578184
1994,63.64272090391529,56.00649491956722,2370.1640793250185,2307.3836757724794,2045.5845315535034,2252.2024433461133,2513.983303438704,2463.5069295749636,2254.990460791344,2381.7654544163634,2127.1491538586038,2070.8056781218033,1936.3190839917506,2021.2822240755133,3217.7220757164837,3153.1158620390447,2798.378554219672,3048.4925143979963
1995,63.704085825598746,56.26998732767158,2267.586739553578,2178.0909693106964,1877.1402016624022,2100.426208549047,2429.589818186456,2356.785501133342,2108.158205888846,2240.463448976145,2063.472006682309,1982.0321158100355,1829.0343407177188,1911.3582769919037,3081.6620646974807,2989.317957750137,2568.2268970089917,2841.7764868659
1996,63.76550991592803,56.53471938216379,2169.4488015629245,2056.0430934853052,1736.0875047947914,1958.8781952500901,2348.0293908718954,2254.6873449674754,1980.8662910088603,2107.5444086614143,2001.701062963908,1897.064195644612,1736.3366722446458,1807.412354153773,2951.355293443403,2834.0290187588466,2372.34261908724,2649.077720598801
1997,63.826993231954134,56.80069691517856,2075.55813434038,1940.8340890401196,1613.536317800461,1826.869122184951,2269.206916792873,2157.012176590461,1867.0346705510426,1982.5110007975286,1941.7792596629572,1815.7387731963724,1653.5100720198207,1709.1193510244798,2826.5584886548827,2686.8070217636405,2200.134136621211,2469.4457154554098
1998,63.88853583078304,57.06792578628861,1985.7309220309933,1832.0807443752901,1504.6805569607227,1703.7561588492467,2193.0304838767474,2063.568388027053,1763.371524740861,1864.8953977579677,1883.6512419463274,1737.8996978899863,1578.0128933092753,1616.1718433168446,2707.0386637406673,2547.2329056672565,2045.8291455852711,2301.994424007549
1999,63.95013776957577,57.33641188263404,1899.7913040692276,1729.421320897505,1406.585814554042,1588.9397951753397,2119.4112655049994,1974.1726719390103,1667.8679134091467,1754.2575265306446,1827.263312052155,1663.3975131837085,1508.3024530590574,1528.27912548323,2592.572683848538,2414.9093787372276,1905.8733659930242,2145.8978810492326
2000,64.01179910554852,57.60616111905234,1817.5710308854843,1632.5143497945112,1317.301859240346,1481.860922162182,2048.263416935684,1888.6496620337393,1579.1903139953856,1650.1834221314357,1772.5633796847906,1592.0891696023054,1443.3613806508242,1445.1663014957637,2482.946849288711,2289.4597877320343,1777.8825395470526,2000.38612946548
2001,64.07351989597261,57.87717943820811,1738.9091345128834,1541.0374962313447,1235.4485595204185,1381.9981092417922,1979.5039752029413,1806.8315890507697,1496.3959802835593,1552.2836787041442,1719.5009138944852,1523.8377500718304,1382.4760139753787,1366.5734250728362,2377.9564965720338,2170.527045773858,1660.1517284840527,1864.7414223650758
